time_ni,acel_ni
46.735,5.70773855
46.745,5.276229625
46.755,5.197720701
46.765,5.080011777
46.775,4.687802853
46.785,4.256293929
46.795,3.432485005
46.805,2.56947608
46.815,1.510367156
46.825,-0.568641768
46.835,-1.823950692
46.845,-2.804559616
46.855,-3.589068541
46.865,-4.334477465
46.875,-5.354286389
46.885,-5.903495313
46.895,-6.413504237
46.905,-6.766513162
46.915,-6.570422086
46.925,-6.29583101
46.935,-5.942739934
46.945,-5.197448858
46.955,-4.177557782
46.965,-3.040066707
46.975,-2.059375631
46.985,-0.882584555
46.995,-0.019593479
47.005,2.608597597
47.015,1.863188672
47.025,2.098579748
47.035,3.667670824
47.045,5.0405619
47.055,5.550452976
47.065,5.785844051
47.075,6.060435127
47.085,5.668126203
47.095,5.432817279
47.105,5.354308355
47.115,5.04049943
47.125,4.491290506
47.135,3.824481582
47.145,3.118372658
47.155,2.255363734
47.165,1.54925481
47.175,0.529345885
47.185,-0.529763039
47.195,-1.981171963
47.205,-3.197180887
47.215,-3.903289811
47.225,-5.825398736
47.235,-6.45300766
47.245,-6.923716584
47.255,-7.119825508
47.265,-6.806034432
47.275,-6.413843357
47.285,-5.746952281
47.295,-5.001661205
47.305,-3.785670129
47.315,-2.648079053
47.325,-1.353587978
47.335,-0.255296902
47.345,2.725894174
47.355,1.78448525
47.365,2.451276326
47.375,3.824267402
47.385,5.157958477
47.395,5.236349553
47.405,5.667840629
47.415,5.628631705
47.425,5.236322781
47.435,4.804813856
47.445,4.687204932
47.455,4.373396008
47.465,4.020287084
47.475,3.23577816
47.485,2.529669235
47.495,1.980460311
47.505,1.195951387
47.515,0.293742463
47.525,-0.412366461
47.535,-1.353775386
47.545,-2.49138431
47.555,-3.354393234
47.565,-4.413502158
47.575,-4.923511082
47.585,-5.668820006
47.595,-6.021828931
47.605,-6.374837855
47.615,-6.257246779
47.625,-5.394255703
47.635,-4.452764627
47.645,-3.589773552
47.655,-2.530682476
47.665,-1.6284914
47.675,-0.569400324
47.685,2.490290752
47.695,0.921181827
47.705,2.450972903
47.715,4.765363979
47.725,5.353755055
47.735,5.392946131
47.745,5.942137206
47.755,5.942128282
47.765,5.510619358
47.775,5.039910434
47.785,4.96150151
47.795,4.647592586
47.805,4.255383661
47.815,3.627674737
47.825,2.764765813
47.835,1.627156889
47.845,1.038747965
47.855,0.09733904
47.865,-1.118769884
47.875,-2.217078808
47.885,-3.197787732
47.895,-4.296096656
47.905,-5.394505581
47.915,-6.139814505
47.925,-6.453623429
47.935,-6.806632353
